title,publish_date,media_name,url,cluster,title_total_frequency,title_date_frequency,publish_year,publish_month,publish_day,days_since_min,label,cluster_name,topics
"Hungary Bill to Restrict How Media Depicts Homosexuality, Transgender Rights",6/15/21,wsj.com,https://www.wsj.com/articles/hungary-bill-to-restrict-how-media-depicts-homosexuality-transgender-rights-11623798982,47,1,1,2021,6,15,531,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
"First child monkeypox cases in U.S. are reported, including a toddler in California",7/22/22,latimes.com,https://www.latimes.com/california/story/2022-07-22/first-child-cases-of-monkeypox-in-united-states-california,39,2,2,2022,7,22,933,Monkeypox Outbreak,Monkeypox Outbreak,healthcare
Hungary Lawmakers Pass Law Barring LGBT Content For Minors,6/15/21,npr.org,https://www.npr.org/2021/06/15/1006662043/hungary-lawmakers-pass-law-barring-lgbt-content-for-minors,47,2,2,2021,6,15,531,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
"First reactions to ‘The Flash,’ starring Ezra Miller",4/25/23,seattletimes.com,https://www.seattletimes.com/business/first-reactions-to-the-flash-starring-ezra-miller/?utm_source=RSS&utm_medium=Referral&utm_campaign=RSS_all,9,5,2,2023,4,25,1210,Ezra Miller Controversy,Ezra Miller Controversy,"popCulture, bigotry"
"First reactions to ‘The Flash,’ starring Ezra Miller",4/25/23,staradvertiser.com,https://www.staradvertiser.com/2023/04/25/breaking-news/first-reactions-to-the-flash-starring-ezra-miller/,9,5,2,2023,4,25,1210,Ezra Miller Controversy,Ezra Miller Controversy,"popCulture, bigotry"
"First reactions to ‘The Flash,’ starring Ezra Miller",4/26/23,abcnews.go.com,https://abcnews.go.com/US/wireStory/reactions-flash-starring-ezra-miller-98859861,9,5,3,2023,4,26,1211,Ezra Miller Controversy,Ezra Miller Controversy,"popCulture, bigotry"
"First reactions to ‘The Flash,’ starring Ezra Miller",4/26/23,mlive.com,https://www.mlive.com/news/2023/04/first-reactions-to-the-flash-starring-ezra-miller.html,9,5,3,2023,4,26,1211,Ezra Miller Controversy,Ezra Miller Controversy,"popCulture, bigotry"
Five Golden Globe awards results that shocked in 2022,1/10/22,newsweek.com,https://www.newsweek.com/golden-globe-awards-shock-results-2022-1667307,51,1,1,2022,1,10,740,Emilia Pérez Controversy,Emilia Pérez Controversy,"popCulture, bigotry"
Hungary MPs Approve Package Of Anti-LGBTQ Measures,12/15/20,ibtimes.com,https://www.ibtimes.com/hungary-mps-approve-package-anti-lgbtq-measures-3102660?utm_source=Public&utm_medium=Feed&utm_campaign=Distribution,47,1,1,2020,12,15,349,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary Parliament Clears Way For Government's LGBT Referendum As Election Nears,12/1/21,reuters.com,"http://rmb.reuters.com/rmd/rss/item/tag:reuters.com,2021:newsml_KBN2IF0ZK:2?channel=FES376",47,1,1,2021,12,1,700,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary Passes Law Banning 'Promotion' Of Homosexuality To Minors,6/15/21,ibtimes.com,https://www.ibtimes.com/hungary-passes-law-banning-promotion-homosexuality-minors-3226532?utm_source=Public&utm_medium=Feed&utm_campaign=Distribution,47,2,2,2021,6,15,531,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary Passes Laws Curtailing Gay Rights and Expanding Executive Power,12/15/20,nytimes.com,https://www.nytimes.com/2020/12/15/world/hungary-passes-laws-curtailing-gay-rights-and-expanding-executive-power.html,47,3,3,2020,12,15,349,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
"Hungary amends constitution to redefine family, effectively banning gay adoption",12/15/20,nbcnews.com,https://www.nbcnews.com/feature/nbc-out/hungary-amends-constitution-redefine-family-effectively-banning-gay-adoption-n1251251,47,1,1,2020,12,15,349,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary approves constitutional change to effectively ban adoption by same-sex couples,12/15/20,washingtonpost.com,https://www.washingtonpost.com/world/2020/12/15/hungary-adoption-lgbt-constitution/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world,47,1,1,2020,12,15,349,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary bans legal recognition of its transgender citizens,5/19/20,seattletimes.com,https://www.seattletimes.com/nation-world/world/hungary-bans-legal-recognition-of-its-transgender-citizens/?utm_source=RSS&utm_medium=Referral&utm_campaign=RSS_all,47,10,6,2020,5,19,139,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Florida Exit Polls: How Different Groups Voted,11/3/20,nytimes.com,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,37,1,1,2020,11,3,307,Voter Demographics,Voter Demographics,"statePolicy, federalPolicy, identity"
Hungary bans legal recognition of its transgender citizens,5/19/20,staradvertiser.com,https://www.staradvertiser.com/2020/05/19/news/hungary-bans-legal-recognition-of-its-transgender-citizens/,47,10,6,2020,5,19,139,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary bans legal recognition of its transgender citizens,5/19/20,startribune.com,https://www.startribune.com/hungary-bans-legal-recognition-of-its-transgender-citizens/570594862/,47,10,6,2020,5,19,139,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary bans legal recognition of its transgender citizens,5/20/20,nbcnews.com,https://www.nbcnews.com/feature/nbc-out/hungary-bans-legal-recognition-its-transgender-citizens-n1211141,47,10,4,2020,5,20,140,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary bans legal recognition of its transgender citizens,5/20/20,nypost.com,https://nypost.com/2020/05/20/hungary-bans-legal-recognition-of-its-transgender-citizens/,47,10,4,2020,5,20,140,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary bars public LGBT events,4/15/25,arkansasonline.com,https://www.arkansasonline.com/news/2025/apr/15/hungary-bars-public-lgbt-events/,47,1,1,2025,4,15,1931,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary bill barring LGBTQ content for minors tests EU acceptance,6/16/21,csmonitor.com,https://www.csmonitor.com/World/Europe/2021/0616/Hungary-bill-barring-LGBTQ-content-for-minors-tests-EU-acceptance?icid=rss,47,2,2,2021,6,16,532,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary parliament clears way for government’s LGBT referendum as election nears,11/30/21,oann.com,https://www.oann.com/hungarian-parliament-empowers-government-to-hold-referendum-on-lgbt-issues/,47,1,1,2021,11,30,699,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary passes anti-LGBTQ+ law banning Pride events,3/18/25,pbs.org,https://www.pbs.org/newshour/world/hungary-passes-anti-lgbtq-law-banning-pride-events,47,2,2,2025,3,18,1903,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary passes constitutional amendment to ban LGBTQ public events,4/14/25,nbcnews.com,https://www.nbcnews.com/nbc-out/out-news/hungary-passes-constitutional-amendment-ban-lgbtq-public-events-rcna201211,47,1,1,2025,4,14,1930,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary passes constitutional amendment to ban LGBTQ+ public events,4/14/25,abcnews.go.com,https://abcnews.go.com/International/wireStory/hungary-passes-constitutional-amendment-ban-lgbtq-public-events-120793832,47,4,3,2025,4,14,1930,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary passes constitutional amendment to ban LGBTQ+ public events,4/14/25,latimes.com,https://www.latimes.com/world-nation/story/2025-04-14/hungary-passes-constitutional-amendment-to-ban-lgbtq-public-events-seen-as-a-major-blow-to-rights,47,4,3,2025,4,14,1930,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary passes constitutional amendment to ban LGBTQ+ public events,4/14/25,pbs.org,https://www.pbs.org/newshour/world/hungary-passes-constitutional-amendment-to-ban-lgbtq-public-events,47,4,3,2025,4,14,1930,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary passes constitutional amendment to ban LGBTQ+ public events,4/15/25,npr.org,https://www.npr.org/2025/04/15/nx-s1-5365421/hungary-lgbtq-rights-ban-orban,47,4,1,2025,4,15,1931,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
"Hungary passes constitutional amendment to ban LGBTQ+ public events, seen as a major blow to rights",4/14/25,ajc.com,https://www.ajc.com/news/nation-world/hungary-passes-constitutional-amendment-to-ban-lgbtq-public-events-seen-as-a-major-blow-to-rights/6F3Z4W5FQBDKPGZNOHCNKUQWKU/,47,12,11,2025,4,14,1930,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
"Hungary passes constitutional amendment to ban LGBTQ+ public events, seen as a major blow to rights",4/14/25,baltimoresun.com,https://www.baltimoresun.com/2025/04/14/hungary-pride-ban/,47,12,11,2025,4,14,1930,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
"Hungary passes constitutional amendment to ban LGBTQ+ public events, seen as a major blow to rights",4/14/25,bostonglobe.com,https://www.bostonglobe.com/2025/04/14/world/hungary-parliament-lgbtq-public-events-ban/,47,12,11,2025,4,14,1930,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
"Hungary passes constitutional amendment to ban LGBTQ+ public events, seen as a major blow to rights",4/14/25,cnn.com,https://www.cnn.com/2025/04/14/europe/hungary-lgbtq-law-intl-latam/index.html,47,12,11,2025,4,14,1930,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
"Hungary passes constitutional amendment to ban LGBTQ+ public events, seen as a major blow to rights",4/14/25,courant.com,https://www.courant.com/2025/04/14/hungary-pride-ban/,47,12,11,2025,4,14,1930,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
"Hungary passes constitutional amendment to ban LGBTQ+ public events, seen as a major blow to rights",4/14/25,inquirer.com,https://www.inquirer.com/wires/ap/hungary-passes-constitutional-amendment-ban-lgbtq-public-events-seen-major-blow-rights-20250414.html,47,12,11,2025,4,14,1930,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
"Hungary passes constitutional amendment to ban LGBTQ+ public events, seen as a major blow to rights",4/14/25,newsday.com,https://www.newsday.com/news/nation/hungary-pride-ban-amendment-orban-gay-rights-lgbtq-v32853,47,12,11,2025,4,14,1930,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
"Hungary passes constitutional amendment to ban LGBTQ+ public events, seen as a major blow to rights",4/14/25,ocregister.com,https://www.ocregister.com/2025/04/14/hungary-pride-ban/,47,12,11,2025,4,14,1930,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
"Hungary passes constitutional amendment to ban LGBTQ+ public events, seen as a major blow to rights",4/14/25,sandiegouniontribune.com,https://www.sandiegouniontribune.com/2025/04/14/hungary-pride-ban/,47,12,11,2025,4,14,1930,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
"Hungary passes constitutional amendment to ban LGBTQ+ public events, seen as a major blow to rights",4/14/25,seattletimes.com,https://www.seattletimes.com/nation-world/hungary-passes-a-constitutional-amendment-to-ban-lgbtq-public-events/?utm_source=RSS&utm_medium=Referral&utm_campaign=RSS_all,47,12,11,2025,4,14,1930,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
"Hungary passes constitutional amendment to ban LGBTQ+ public events, seen as a major blow to rights",4/14/25,twincities.com,https://www.twincities.com/2025/04/14/hungary-pride-ban/,47,12,11,2025,4,14,1930,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
"Hungary passes constitutional amendment to ban LGBTQ+ public events, seen as a major blow to rights",4/15/25,inquirer.com,https://www.inquirer.com/wires/ap/hungary-passes-constitutional-amendment-ban-lgbtq-public-events-seen-major-blow-rights-20250415.html,47,12,1,2025,4,15,1931,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary passes law banning LGBT content in schools or kids’ TV,6/15/21,theguardian.com,https://www.theguardian.com/world/2021/jun/15/hungary-passes-law-banning-lbgt-content-in-schools,47,1,1,2021,6,15,531,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary passes law banning LGBTQ content for minors,6/15/21,washingtonpost.com,https://www.washingtonpost.com/world/2021/06/15/hungary-gay-transgender-law/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world-europe,47,1,1,2021,6,15,531,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary passes law effectively barring same-sex couples from adopting,12/15/20,cnn.com,http://rss.cnn.com/~r/rss/cnn_latest/~3/6IQnE_TaWxQ/index.html,47,4,4,2020,12,15,349,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary passes legislation to ban public LGBTQ+ events: ‘Dismantling democracy’,4/15/25,nypost.com,https://nypost.com/2025/04/15/world-news/hungary-passes-constitutional-amendment-to-ban-lgbtq-public-events-seen-as-a-major-blow-to-rights/,47,1,1,2025,4,15,1931,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary plans to ban 'promoting' homosexuality to under-18s,6/11/21,abcnews.go.com,https://abcnews.go.com/International/wireStory/hungary-plans-ban-promoting-homosexuality-18s-78220125,47,2,2,2021,6,11,527,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary plans to ban 'promoting' homosexuality to under-18s,6/11/21,startribune.com,https://www.startribune.com/hungary-plans-to-ban-promoting-homosexuality-to-under-18s/600067149/,47,2,2,2021,6,11,527,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary proposes banning LGBTQ+ content aimed at children,6/11/21,newsweek.com,https://www.newsweek.com/hungary-proposes-banning-lgbtq-content-aimed-children-1599812,47,1,1,2021,6,11,527,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary votes on LGBTQ+ Pride: Will this end other basic rights?,4/14/25,nbcnews.com,https://www.nbcnews.com/news/world/hungary-votes-lgbtq-pride-will-end-basic-rights-rcna201091,47,1,1,2025,4,14,1930,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary's Parliament Votes to End Legal Recognition of Transgender People. Activists Fear 'Devastating' Consequences,5/19/20,time.com,https://time.com/5838804/hungary-gender-recognition-vote-transgender/,47,1,1,2020,5,19,139,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary's constitutional court to review transgender law,11/25/20,abcnews.go.com,https://abcnews.go.com/International/wireStory/hungarys-constitutional-court-review-transgender-law-74396553,47,5,5,2020,11,25,329,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary's constitutional court to review transgender law,11/25/20,chron.com,https://www.chron.com/news/article/Hungary-s-constitutional-court-to-review-15753244.php,47,5,5,2020,11,25,329,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary's constitutional court to review transgender law,11/25/20,sfgate.com,https://www.sfgate.com/news/article/Hungary-s-constitutional-court-to-review-15753244.php,47,5,5,2020,11,25,329,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary's crackdown on its LGBTQ community prompts condemnation from European leaders,8/6/21,pbs.org,https://www.pbs.org/newshour/show/hungarys-crackdown-on-its-lgbtq-community-prompts-condemnation-from-european-leaders,47,2,2,2021,8,6,583,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary's new anti-LGBTQ+ law bans Pride events and sparks protests,3/18/25,ajc.com,https://www.ajc.com/news/nation-world/hungarys-new-anti-lgbtq-law-bans-pride-events-and-sparks-protests/LDN23SPAVNHRPIYCLFCGQMX2M4/,47,4,4,2025,3,18,1903,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary's new anti-LGBTQ+ law bans Pride events and sparks protests,3/18/25,inquirer.com,https://www.inquirer.com/wires/ap/hungarys-new-anti-lgbtq-law-bans-pride-events-sparks-protests-20250318.html,47,4,4,2025,3,18,1903,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary's parliament passes anti-LGBT law ahead of 2022 election,6/15/21,reuters.com,https://www.reuters.com/world/europe/hungarys-parliament-passes-anti-lgbt-law-ahead-2022-election-2021-06-15/,47,1,1,2021,6,15,531,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary's parliament passes anti-LGBTQ law ahead of 2022 election,6/15/21,nbcnews.com,https://www.nbcnews.com/feature/nbc-out/hungary-s-parliament-passes-anti-lgbtq-law-ahead-2022-election-n1270868,47,1,1,2021,6,15,531,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
"Hungary's parliament passes law banning Pride events, in new assault on LGBTQ rights",3/18/25,nbcnews.com,https://www.nbcnews.com/nbc-out/out-news/hungarys-parliament-passes-law-banning-pride-events-new-assault-lgbtq-rcna196925,47,2,2,2025,3,18,1903,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary's parliament votes to ban legal recognition of trans people,5/19/20,upi.com,https://www.upi.com/Top_News/World-News/2020/05/19/Hungarys-parliament-votes-to-ban-legal-recognition-of-trans-people/6381589908727/,47,2,2,2020,5,19,139,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary: Bill would ban 'promoting' homosexuality to minors,6/11/21,startribune.com,https://www.startribune.com/hungary-bill-would-ban-promoting-homosexuality-to-minors/600067149/,47,1,1,2021,6,11,527,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary: Lawmakers pass law barring LGBT content for minors,6/15/21,sfgate.com,https://www.sfgate.com/news/article/Hungary-Lawmakers-pass-law-barring-LGBT-content-16248538.php,47,2,2,2021,6,15,531,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary: Lawmakers pass law barring LGBT content for minors,6/15/21,startribune.com,https://www.startribune.com/hungary-lawmakers-pass-law-barring-lgbt-content-for-minors/600068300/,47,2,2,2021,6,15,531,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary’s anti-LGBTQ law breaches international rights standards – European rights body,12/14/21,oann.com,https://www.oann.com/hungarys-anti-lgbtq-law-breaches-international-rights-standards-european-rights-body/,47,2,2,2021,12,14,713,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary’s constitutional court to review transgender law,11/25/20,seattletimes.com,https://www.seattletimes.com/nation-world/world/hungarys-constitutional-court-to-review-transgender-law/?utm_source=RSS&utm_medium=Referral&utm_campaign=RSS_all,47,3,3,2020,11,25,329,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
"Hungary’s crackdown on LGBTQ+ content violates human rights, says EU’s top court",6/5/25,theguardian.com,https://www.theguardian.com/world/2025/jun/05/hungary-lgbtq-content-violates-human-rights-eu-court,47,1,1,2025,6,5,1982,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary’s government submits bill to ban Budapest Pride event,3/17/25,theguardian.com,https://www.theguardian.com/world/2025/mar/17/hungary-government-bill-ban-budapest-pride-event,47,1,1,2025,3,17,1902,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary’s new anti-LGBTQ+ law bans Pride events and sparks protests,3/18/25,bostonglobe.com,https://www.bostonglobe.com/2025/03/18/world/hungarys-new-anti-lgbtq-law-bans-pride-events-sparks-protests/,47,6,6,2025,3,18,1903,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary’s new anti-LGBTQ+ law bans Pride events and sparks protests,3/18/25,cnn.com,https://www.cnn.com/2025/03/18/europe/orban-anti-lgbtq-bill-passed-budapest-pride-intl-latam/index.html,47,6,6,2025,3,18,1903,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Hungary’s new anti-LGBTQ+ law bans Pride events and sparks protests,3/18/25,stltoday.com,https://www.stltoday.com/news/nation-world/article_b01f151a-041f-11f0-ba4d-3334cfb498f1.html,47,6,6,2025,3,18,1903,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
"Hungary’s parliament passes a law banning Pride events, in a new assault on LGBTQ+ rights",3/18/25,inquirer.com,https://www.inquirer.com/wires/ap/hungarys-parliament-passes-law-banning-pride-events-new-assault-lgbtq-rights-20250318.html,47,4,4,2025,3,18,1903,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
"Hungary’s parliament passes a law banning Pride events, in a new assault on LGBTQ+ rights",3/18/25,seattletimes.com,https://www.seattletimes.com/nation-world/world/hungarys-parliament-passes-a-law-banning-pride-events-in-a-new-assault-on-lgbtq-rights/?utm_source=RSS&utm_medium=Referral&utm_campaign=RSS_all,47,4,4,2025,3,18,1903,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Florida Voter Surveys: How Different Groups Voted,11/3/20,nytimes.com,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,37,1,1,2020,11,3,307,Voter Demographics,Voter Demographics,"statePolicy, federalPolicy, identity"
Hungary’s parliament passes anti-LGBT law ahead of 2022 election,6/15/21,oann.com,https://www.oann.com/hungarys-parliament-passes-anti-lgbt-law-ahead-of-2022-election/?utm_source=rss&utm_medium=rss&utm_campaign=hungarys-parliament-passes-anti-lgbt-law-ahead-of-2022-election,47,1,1,2021,6,15,531,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Florida appeals federal judge's transgender treatment ruling,6/19/24,cbsnews.com,https://www.cbsnews.com/miami/news/florida-appeals-federal-judges-transgender-treatment-ruling/,122,3,3,2024,6,19,1631,Florida Transgender Care,Florida Transgender Care,"statePolicy, children, healthcare, identity"
Florida appeals ruling blocking ban on transgender treatments,6/19/24,sun-sentinel.com,https://www.sun-sentinel.com/2024/06/19/florida-appeals-ruling-blocking-ban-on-trans-treatments/,122,3,3,2024,6,19,1631,Florida Transgender Care,Florida Transgender Care,"statePolicy, children, healthcare, identity"
"Hungary’s parliament passes law banning Pride events, in a new assault on LGBTQ+ rights",3/18/25,latimes.com,https://www.latimes.com/world-nation/story/2025-03-18/hungarys-parliament-passes-a-law-banning-pride-events-in-a-new-assault-on-lgbtq-rights,47,2,2,2025,3,18,1903,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
Florida ban on transgender treatment for minors takes effect,3/17/23,cbsnews.com,https://www.cbsnews.com/miami/video/florida-ban-on-transgender-treatment-for-minors-takes-effect/,122,1,1,2023,3,17,1171,Florida Transgender Care,Florida Transgender Care,"statePolicy, children, healthcare, identity"
Florida banning transgender health care treatments for minors,11/5/22,cbsnews.com,https://www.cbsnews.com/news/florida-banning-transgender-health-care-treatments-for-minors/,122,1,1,2022,11,5,1039,Florida Transgender Care,Florida Transgender Care,"statePolicy, children, healthcare, identity"
It’s Not Just LGBTQ Rights That Are Under Attack in Hungary – People Are Too,7/5/21,vice.com,https://www.vice.com/en/article/y3d53j/its-not-just-lgbtq-rights-that-are-under-attack-in-hungary-people-are-too,47,1,1,2021,7,5,551,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
"Lawmakers target LGBTQ issues in school, this time in Hungary",3/30/22,csmonitor.com,https://www.csmonitor.com/World/Europe/2022/0330/Lawmakers-target-LGBTQ-issues-in-school-this-time-in-Hungary,47,1,1,2022,3,30,819,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
"Orban’s tighter laws stoke taboos, fear among Hungary’s LGBT people",6/18/21,oann.com,https://www.oann.com/orbans-tighter-laws-stoke-taboos-fear-among-hungarys-lgbt-people/?utm_source=rss&utm_medium=rss&utm_campaign=orbans-tighter-laws-stoke-taboos-fear-among-hungarys-lgbt-people,47,1,1,2021,6,18,534,Hungary Anti-LGBTQ Laws,Hungary Anti-LGBTQ Laws,"internationalPolicy, publicSpace, bigotry, freeSpeech"
